date revenue price type distance size_length size_width size_height
2023-10-01 151647.08 966.41 siding 166.37 32.22 61.93 26.42
2024-11-25 124787.32 2732.41 drywall 154.08 81.25 53.80 3.51
2024-06-18 525201.74 4371.08 roofing 116.84 99.74 32.38 12.41
2024-03-13 10373.57 3674.51 drywall 191.43 7.85 5.61 25.11
2023-04-24 926914.73 4042.48 siding 44.09 90.25 52.14 16.20
2023-04-24 205100.91 3310.98 flooring 26.31 64.15 32.13 9.91
2023-02-12 1956981.64 3476.77 lumber 171.52 97.47 74.79 25.70
2024-09-24 76344.62 4253.52 door 90.63 49.18 7.27 16.82
2024-03-14 271435.25 1285.86 lumber 170.16 85.50 60.56 13.65
2024-05-31 180746.42 2472.65 lumber 179.15 10.93 94.44 23.74
2023-01-16 22421.16 1144.99 flooring 17.18 36.85 21.57 7.53
2024-12-09 389180.04 4938.96 drywall 177.28 11.37 49.81 46.46
2024-08-30 823731.52 4723.09 door 92.42 97.66 13.69 43.52
2023-06-05 141555.75 245.16 window 104.53 82.61 64.44 35.67
2023-05-13 324019.73 3542.60 insulation 127.19 85.99 57.30 6.20
2023-05-14 2230390.87 4629.98 flooring 185.64 94.11 43.70 39.02
2023-08-11 84538.90 943.85 siding 8.73 13.08 54.53 40.59
2024-01-19 1245873.45 2861.33 window 97.98 41.63 90.17 38.62
2023-11-12 24624.33 4581.67 insulation 139.11 11.75 23.65 6.58
2023-08-01 2403.00 218.03 siding 145.93 25.03 7.14 32.55
2024-03-22 1025082.36 3502.23 lumber 140.04 26.79 86.86 41.88
2023-04-12 398588.82 1521.88 roofing 31.21 49.57 59.83 29.29
2023-08-02 1242256.93 4625.76 siding 63.38 30.51 89.61 32.67
2023-09-25 307896.87 4856.74 door 74.95 14.59 61.71 23.46
2023-11-29 654018.14 4724.12 door 161.87 20.91 81.97 26.91
2024-07-27 16077.79 2397.36 roofing 59.36 18.99 45.82 2.68
2023-05-26 3113501.72 4317.11 window 46.09 97.44 76.24 32.31
2024-01-11 446165.31 4230.52 insulation 191.70 77.13 91.74 4.99
2024-03-08 630695.97 1629.55 siding 6.73 96.94 59.35 22.32
2023-02-03 195460.97 4153.13 door 199.58 46.78 22.17 15.34
2024-03-19 17226.79 233.19 window 136.98 31.45 30.54 27.73
2023-05-05 131365.68 3001.54 roofing 166.55 80.84 23.87 7.54
2023-02-17 128621.22 1188.54 drywall 62.45 35.99 28.45 34.89
2024-11-23 89988.20 646.81 flooring 7.79 33.44 34.11 39.96
